ticker,roeq,acc,agr,mom12m,mom1m,price,mve,size,composite
HDSN,0.9735788630904724,0.9711769415532426,0.8102481985588471,0.9655724579663731,0.1200960768614892,9.93,6.10389997643777,1740.0,0.7681345076060849
OVLY,0.8694955964771818,0.7638110488390712,0.789431545236189,0.4499599679743795,0.955964771817454,23.5,5.268373490174965,1998.5,0.7657325860688552
HAYN,0.811048839071257,0.9823859087269816,0.6525220176140912,0.88871096877502,0.4859887910328263,48.59,6.410832560385138,1604.0,0.7641313050440353
BZH,0.944755804643715,0.9127301841473179,0.5020016012810248,0.8734987990392313,0.5724579663730984,13.23,6.012491914300058,1766.0,0.7610888710968775
POWL,0.622097678142514,0.8686949559647719,0.6148919135308246,0.7181745396317054,0.9807846277021617,35.17,6.030204375423913,1760.0,0.7609287429943955
EVI,0.5636509207365893,0.855884707766213,0.7878302642113691,0.9199359487590072,0.6693354683746997,21.82,5.612397912854349,1897.0,0.7593274619695757
SPWH,0.8094475580464372,0.9687750200160128,0.7718174539631706,0.5420336269015212,0.7029623698959168,9.95,5.927192657087842,1797.0,0.7590072057646118
ZEUS,0.5620496397117695,0.9935948759007206,0.8895116092874299,0.9519615692554043,0.37950360288230583,32.62,5.89467827842029,1809.0,0.7553242594075261
MED,0.9807846277021617,0.9743795036028823,0.8518815052041633,0.39951961569255406,0.5572457966373099,116.81,7.151798894404089,1280.0,0.7527622097678142
MOD,0.8574859887910328,0.8959167333867094,0.5796637309847879,0.9575660528422738,0.4675740592473979,20.85,6.990532705439705,1352.0,0.7516413130504404
ATEN,0.8855084067253803,0.9543634907926342,0.8206565252201762,0.9239391513210569,0.17133706965572457,15.36,7.0283787213058755,1334.0,0.7511609287429943
RCKY,0.6020816653322658,0.9599679743795037,0.9687750200160128,0.8839071257005604,0.3402722177742194,26.65,5.274024673978992,1997.0,0.7510008006405123
CLMB,0.7686148919135308,0.8470776621297038,0.6501200960768615,0.6877502001601281,0.7942353883106485,32.51,4.980863135762585,2067.0,0.7495596477181745
SHYF,0.9079263410728583,0.5540432345876701,0.7502001601281025,0.6052842273819056,0.9255404323458767,28.08,6.892438574870243,1392.0,0.7485988791032827
CASS,0.7830264211369096,0.6829463570856685,0.6573258606885508,0.7309847878302642,0.8759007205764612,46.47,6.453309988652254,1588.0,0.7460368294635709
TPH,0.8791032826261009,0.8086469175340272,0.4843875100080064,0.7037630104083267,0.8486789431545236,19.79,7.599451407274767,1064.0,0.744915932746197
CVCO,0.9263410728582866,0.8879103282626101,0.7245796637309848,0.5740592473979184,0.6076861489191353,231.88,7.633321245797583,1053.0,0.744115292233787
PARR,0.9943955164131305,0.4955964771817454,0.7101681345076061,0.9039231385108086,0.6108887109687751,22.1,7.195187320178708,1253.0,0.7429943955164131
RICK,0.8070456365092074,0.3971176941553243,0.8534827862289832,0.8871096877502002,0.7678142514011209,88.55,6.706006224522084,1478.0,0.7425140112089672
ARL,0.9967974379503602,0.8310648518815053,0.08006405124099279,0.911128903122498,0.8919135308246597,22.01,5.873525249243295,1816.0,0.7421937550040033
OBT,0.8494795836669335,0.7349879903923139,0.7838270616493195,0.6645316253002402,0.6765412329863891,46.96,5.579729825986222,1907.0,0.7418734987990392
GES,0.8438751000800641,0.8246597277822257,0.33706965572457964,0.8791032826261009,0.8174539631705364,22.02,7.089159748713608,1305.0,0.7404323458767014
IVAC,0.24739791833466773,0.9807846277021617,0.7461969575660529,0.799839871897518,0.922337870296237,6.48,5.105339229565554,2034.0,0.7393114491593276
IIIN,0.8951160928742994,0.9871897518014412,0.7149719775820657,0.4739791833466773,0.6188951160928743,27.96,6.300051580239659,1654.0,0.7380304243394715
COCO,0.8590872698158527,0.9735788630904724,0.4747798238590873,0.4851881505204163,0.8959167333867094,13.8,6.648725449103519,1512.0,0.7377101681345076
ELA,0.9399519615692554,0.9615692554043235,0.855884707766213,0.29943955164131303,0.6277021617293835,5.22,4.9452074887738,2074.0,0.7369095276220976
BBW,0.9175340272217775,0.9191353082465973,0.29143314651721375,0.9879903923138511,0.5636509207365893,24.49,5.88943182154283,1813.0,0.7359487590072058
DMLP,0.9727782225780625,0.710968775020016,0.8975180144115292,0.6501200960768615,0.42834267413931143,28.92,7.011844987506517,1341.0,0.731945556445156
INTT,0.789431545236189,0.3546837469975981,0.900720576461169,0.9143314651721377,0.6989591673338671,11.25,4.820281565605037,2099.0,0.7316253002401922
ICHR,0.8502802241793435,0.9135308246597278,0.8022417934347478,0.544435548438751,0.5452361889511609,28.09,6.695922518813793,1482.0,0.7311449159327462
CCRN,0.9239391513210569,0.9951961569255404,0.9383506805444356,0.755804643714972,0.03122497998398719,28.66,6.9743853612799,1359.5,0.7289031224979985
FDBC,0.8174539631705364,0.7950360288230585,0.8454763811048839,0.6509207365892714,0.5316253002401922,44.65,5.527045296156147,1919.0,0.7281024819855885
IMMR,0.855884707766213,0.42193755004003203,0.9199359487590072,0.9255404323458767,0.5156124899919936,7.65,5.510197725583535,1926.0,0.7277822257806245
NWFL,0.8134507606084868,0.6901521216973578,0.578062449959968,0.7293835068054444,0.8278622898318655,33.7,5.613857767128215,1896.0,0.7277822257806245
KE,0.522017614091273,0.9527622097678142,0.7726180944755805,0.8462770216172938,0.544435548438751,22.32,6.3126418386935566,1645.0,0.7276220976781425
