date,best,worst
2014-09,-0.047107911441926234,-0.07908641018497291
2014-10,0.0057555536855943305,-0.0014986794255673847
2014-11,-0.05283848717379441,-0.02655291053000837
2014-12,0.003353075073537174,0.029819806102022985
2015-01,-0.04015513536141951,-0.05720579303728299
2015-02,0.04462900984246514,0.17212425180128776
2015-03,0.02060250569076741,-0.0701060492621036
2015-04,-0.0010563650788390016,0.1356577772158198
2015-05,0.0030087426157479045,-0.0585390055796597
2015-06,0.010621453240455585,-0.040381062658270815
2015-07,0.003690547370457811,-0.18644814654137007
2015-08,-0.020200376373759328,0.020920844608335765
2015-09,0.007788042811870004,-0.14565320270135995
2015-10,0.04798523786310395,0.07161118650925345
2015-11,0.04585404934594405,0.07838819227574279
2015-12,-0.031216095856800206,-0.13324343620100987
2016-01,-0.06422635040158636,-0.12264313890365881
