Symbol,TransactionType,CompanyName,Exchange,Quantity,FXRate,Currency,SecurityType,Price,Amount,CreateDate
NWFL,Market - Buy,Norwood Financial Corp.,US,740,1,USD,Equities,$29.75 ,"($22,015.00)",11/04/2022 - 13:45
PVBC,Market - Buy,Provident Bancorp Inc,US,1770,1,USD,Equities,$12.52 ,"($22,160.40)",11/04/2022 - 13:41
WLFC,Market - Buy,Willis Lease Finance Corp.,US,570,1,USD,Equities,$39.00 ,"($22,230.00)",11/04/2022 - 12:58
GRPN,Market - Buy,Groupon Inc,US,3200,1,USD,Equities,$6.88 ,"($22,016.00)",11/04/2022 - 12:57
UTI,Market - Buy,Universal Technical Institute Inc,US,3250,1,USD,Equities,$6.84 ,"($22,230.00)",11/04/2022 - 12:56
SRTS,Market - Buy,Sensus Healthcare Inc,US,3090,1,USD,Equities,$7.16 ,"($22,124.40)",11/04/2022 - 12:55
ALCO,Market - Buy,Alico Inc.,US,700,1,USD,Equities,$31.38 ,"($21,966.00)",11/04/2022 - 12:51
FLL,Market - Buy,"Full House Resorts, Inc.",US,3250,1,USD,Equities,$6.80 ,"($22,100.00)",11/04/2022 - 12:51
ATOM,Market - Buy,Atomera Inc,US,2500,1,USD,Equities,$8.75 ,"($21,875.00)",11/04/2022 - 12:47
NOAH,Market - Buy,Noah Holdings Limited - ADR,US,1620,1,USD,Equities,$13.66 ,"($22,129.20)",11/04/2022 - 12:46
GRVY,Market - Buy,Gravity Co Ltd - ADR,US,510,1,USD,Equities,$43.51 ,"($22,190.10)",11/04/2022 - 12:44
AGIO,Market - Buy,Agios Pharmaceuticals Inc,US,850,1,USD,Equities,$25.74 ,"($21,879.00)",11/04/2022 - 12:43
FFHL,Market - Buy,Fuwei Films (Holdings) Co,US,3000,1,USD,Equities,$7.39 ,"($22,170.00)",11/04/2022 - 12:42
SOHU,Market - Buy,Sohu.com Ltd. - ADR,US,1430,1,USD,Equities,$15.45 ,"($22,093.50)",11/04/2022 - 12:42
SHEN,Market - Buy,Shenandoah Telecommunications Co.,US,1185,1,USD,Equities,$18.70 ,"($22,159.50)",11/04/2022 - 12:41
ACMR,Market - Buy,ACM Research Inc - Ordinary Shares - Class A,US,3365,1,USD,Equities,$6.47 ,"($21,771.55)",11/04/2022 - 12:40
CNTY,Market - Buy,Century Casinos Inc.,US,3140,1,USD,Equities,$7.06 ,"($22,168.40)",11/04/2022 - 12:39
GRNT,Market - Buy,Granite Ridge Resources Inc - Ordinary Shares - Class A,US,2500,1,USD,Equities,$8.80 ,"($22,000.00)",11/04/2022 - 12:38
QFIN,Market - Buy,360 DigiTech Inc - ADR,US,1800,1,USD,Equities,$12.32 ,"($22,176.00)",11/04/2022 - 12:37
RLMD,Market - Buy,Relmada Therapeutics Inc,US,3485,1,USD,Equities,$6.37 ,"($22,199.45)",11/04/2022 - 12:31
